AISC_Manual_Label,W,A,d,bf,tw,tf,kdes,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw
W14X370,370.0,109.0,17.9,16.5,1.66,2.66,3.26,2.0625,3.1,6.89,5440.0,736.0,607.0,7.07,1990.0,370.0,241.0,4.27,222,116000,62.9,690,150,367
W14X342,342.0,101.0,17.5,16.4,1.54,2.47,3.07,2,3.31,7.41,4900.0,672.0,558.0,6.98,1810.0,338.0,221.0,4.24,178,103000,61.6,624,138,335
W14X311,311.0,91.4,17.1,16.2,1.41,2.26,2.86,1.9375,3.59,8.09,4330.0,603.0,506.0,6.88,1610.0,304.0,199.0,4.2,136,89100,60.1,550,124,300
W14X283,283.0,83.3,16.7,16.1,1.29,2.07,2.67,1.875,3.89,8.84,3840.0,542.0,459.0,6.79,1440.0,274.0,179.0,4.17,104,77700,58.9,491,112,269
W14X257,257.0,75.6,16.4,16,1.18,1.89,2.49,1.8125,4.23,9.71,3400.0,487.0,415.0,6.71,1290.0,246.0,161.0,4.13,79.1,67800,58,439,102,243
W14X233,233.0,68.5,16,15.9,1.07,1.72,2.32,1.75,4.62,10.7,3010.0,436.0,375.0,6.63,1150.0,221.0,145.0,4.1,59.5,59000,56.8,388,91.1,216
W14X211,211.0,62.0,15.7,15.8,0.98,1.56,2.16,1.6875,5.06,11.6,2660.0,390.0,338.0,6.55,1030.0,198.0,130.0,4.07,44.6,51500,55.9,344,81.7,194
W14X193,193.0,56.8,15.5,15.7,0.89,1.44,2.04,1.6875,5.45,12.8,2400.0,355.0,310.0,6.5,931.0,180.0,119.0,4.05,34.8,45900,55.2,312,75,177
W14X176,176.0,51.8,15.2,15.7,0.83,1.31,1.91,1.625,5.97,13.7,2140.0,320.0,281.0,6.43,838.0,163.0,107.0,4.02,26.5,40500,54.5,280,67.6,159
W14X159,159.0,46.7,15,15.6,0.745,1.19,1.79,1.5625,6.54,15.3,1900.0,287.0,254.0,6.38,748.0,146.0,96.2,4.0,19.7,35600,53.9,250,61,143
W14X145,145.0,42.7,14.8,15.5,0.68,1.09,1.69,1.5625,7.11,16.8,1710.0,260.0,232.0,6.33,677.0,133.0,87.3,3.98,15.2,31700,53.1,224,55.4,129
W14X132,132.0,38.8,14.7,14.7,0.645,1.03,1.63,1.5625,7.15,17.7,1530.0,234.0,209.0,6.28,548.0,113.0,74.5,3.76,12.3,25500,50.2,190,49.5,116
W14X120,120.0,35.3,14.5,14.7,0.59,0.94,1.54,1.5,7.8,19.3,1380.0,212.0,190.0,6.24,495.0,102.0,67.5,3.74,9.37,22700,49.8,172,45,105
W14X109,109.0,32.0,14.3,14.6,0.525,0.86,1.46,1.5,8.49,21.7,1240.0,192.0,173.0,6.22,447.0,92.7,61.2,3.73,7.12,20200,49.1,154,40.7,94.8
W14X99,99.0,29.1,14.2,14.6,0.485,0.78,1.38,1.4375,9.34,23.5,1110.0,173.0,157.0,6.17,402.0,83.6,55.2,3.71,5.37,18000,49,139,36.9,86.1
W14X90,90.0,26.5,14,14.5,0.44,0.71,1.31,1.4375,10.2,25.9,999.0,157.0,143.0,6.14,362.0,75.6,49.9,3.7,4.06,16000,48.2,124,33.2,77.1
W14X82,82.0,24.0,14.3,10.1,0.51,0.855,1.45,1.0625,5.92,22.4,881.0,139.0,123.0,6.05,148.0,44.8,29.3,2.48,5.07,6710,33.9,73.3,27.6,68.2
W14X74,74.0,21.8,14.2,10.1,0.45,0.785,1.38,1.0625,6.41,25.4,795.0,126.0,112.0,6.04,134.0,40.5,26.6,2.48,3.87,5990,33.9,67.1,25.4,62.2
W14X68,68.0,20.0,14,10,0.415,0.72,1.31,1.0625,6.97,27.5,722.0,115.0,103.0,6.01,121.0,36.9,24.2,2.46,3.01,5380,33.2,59.8,22.9,56
W14X61,61.0,17.9,13.9,10,0.375,0.645,1.24,1,7.75,30.4,640.0,102.0,92.1,5.98,107.0,32.8,21.5,2.45,2.19,4710,33.1,53.4,20.6,50.2
W14X53,53.0,15.6,13.9,8.06,0.37,0.66,1.25,1,6.11,30.9,541.0,87.1,77.8,5.89,57.7,22.0,14.3,1.92,1.94,2540,26.7,35.5,16.8,42.5
W14X48,48.0,14.1,13.8,8.03,0.34,0.595,1.19,1,6.75,33.6,484.0,78.4,70.2,5.85,51.4,19.6,12.8,1.91,1.45,2240,26.5,31.7,15.1,38.3
W14X43,43.0,12.6,13.7,8,0.305,0.53,1.12,1,7.54,37.4,428.0,69.6,62.6,5.82,45.2,17.3,11.3,1.89,1.05,1950,26.3,27.9,13.4,34
W14X38,38.0,11.2,14.1,6.77,0.31,0.515,0.915,0.8125,6.57,39.6,385.0,61.5,54.6,5.87,26.7,12.1,7.88,1.55,0.798,1230,23,20,11.3,30.3
W14X34,34.0,10.0,14,6.75,0.285,0.455,0.855,0.75,7.41,43.1,340.0,54.6,48.6,5.83,23.3,10.6,6.91,1.53,0.569,1070,22.9,17.6,10,26.9
W14X30,30.0,8.85,13.8,6.73,0.27,0.385,0.785,0.75,8.74,45.4,291.0,47.3,42.0,5.73,19.6,8.99,5.82,1.49,0.38,887,22.6,14.6,8.34,23.1
W14X26,26.0,7.69,13.9,5.03,0.255,0.42,0.82,0.75,5.98,48.1,245.0,40.2,35.3,5.65,8.91,5.54,3.55,1.08,0.358,405,17,8.95,6.76,19.7
W14X22,22.0,6.49,13.7,5,0.23,0.335,0.735,0.75,7.46,53.3,199.0,33.2,29.0,5.54,7.0,4.39,2.8,1.04,0.208,314,16.7,7,5.34,16.1
W12X336,336.0,98.9,16.8,13.4,1.78,2.96,3.55,1.6875,2.26,5.47,4060.0,603.0,483.0,6.41,1190.0,274.0,177.0,3.47,243,57000,46.4,460,119,301
W12X305,305.0,89.5,16.3,13.2,1.63,2.71,3.3,1.625,2.45,5.98,3550.0,537.0,435.0,6.29,1050.0,244.0,159.0,3.42,185,48600,44.8,401,107,267
W12X279,279.0,81.9,15.9,13.1,1.53,2.47,3.07,1.625,2.66,6.35,3110.0,481.0,393.0,6.16,937.0,220.0,143.0,3.38,143,42000,44,356,96,240
W12X252,252.0,74.1,15.4,13,1.4,2.25,2.85,1.5,2.89,6.96,2720.0,428.0,353.0,6.06,828.0,196.0,127.0,3.34,108,35800,42.7,313,85.8,213
W12X230,230.0,67.7,15.1,12.9,1.29,2.07,2.67,1.5,3.11,7.56,2420.0,386.0,321.0,5.97,742.0,177.0,115.0,3.31,83.8,31200,42,281,78.3,193
W12X210,210.0,61.8,14.7,12.8,1.18,1.9,2.5,1.4375,3.37,8.23,2140.0,348.0,292.0,5.89,664.0,159.0,104.0,3.28,64.7,27200,41,249,70.6,173
W12X190,190.0,56.0,14.4,12.7,1.06,1.74,2.33,1.375,3.65,9.16,1890.0,311.0,263.0,5.82,589.0,143.0,93.0,3.25,48.8,23600,40.2,222,64.1,156
W12X170,170.0,50.0,14,12.6,0.96,1.56,2.16,1.3125,4.03,10.1,1650.0,275.0,235.0,5.74,517.0,126.0,82.3,3.22,35.6,20100,39.2,193,56.5,136
W12X152,152.0,44.7,13.7,12.5,0.87,1.4,2,1.25,4.46,11.2,1430.0,243.0,209.0,5.66,454.0,111.0,72.8,3.19,25.8,17200,38.4,168,50.1,121
W12X136,136.0,39.9,13.4,12.4,0.79,1.25,1.85,1.25,4.96,12.3,1240.0,214.0,186.0,5.58,398.0,98.0,64.2,3.16,18.5,14700,37.7,146,44.1,106
W12X120,120.0,35.2,13.1,12.3,0.71,1.11,1.7,1.1875,5.57,13.7,1070.0,186.0,163.0,5.51,345.0,85.4,56.0,3.13,12.9,12400,36.9,126,38.6,92.4
W12X106,106.0,31.2,12.9,12.2,0.61,0.99,1.59,1.125,6.17,15.9,933.0,164.0,145.0,5.47,301.0,75.1,49.3,3.11,9.13,10700,36.3,110,34.2,81
W12X96,96.0,28.2,12.7,12.2,0.55,0.9,1.5,1.125,6.76,17.7,833.0,147.0,131.0,5.44,270.0,67.5,44.4,3.09,6.85,9410,36,98.8,30.9,73
W12X87,87.0,25.6,12.5,12.1,0.515,0.81,1.41,1.0625,7.48,18.9,740.0,132.0,118.0,5.38,241.0,60.4,39.7,3.07,5.1,8270,35.4,86.6,27.4,64.9
W12X79,79.0,23.2,12.4,12.1,0.47,0.735,1.33,1.0625,8.22,20.7,662.0,119.0,107.0,5.34,216.0,54.3,35.8,3.05,3.84,7330,35.3,78.5,24.9,58.9
W12X72,72.0,21.1,12.3,12,0.43,0.67,1.27,1.0625,8.99,22.6,597.0,108.0,97.4,5.31,195.0,49.2,32.4,3.04,2.93,6540,34.9,70.1,22.5,53.2
W12X65,65.0,19.1,12.1,12,0.39,0.605,1.2,1,9.92,24.9,533.0,96.8,87.9,5.28,174.0,44.1,29.1,3.02,2.18,5780,34.5,62.6,20.2,47.5
W12X58,58.0,17.0,12.2,10,0.36,0.64,1.24,0.9375,7.82,27,475.0,86.4,78.0,5.28,107.0,32.5,21.4,2.51,2.1,3570,28.9,46.2,17.8,42.4
W12X53,53.0,15.6,12.1,10,0.345,0.575,1.18,0.9375,8.69,28.1,425.0,77.9,70.6,5.23,95.8,29.1,19.2,2.48,1.58,3160,28.8,41.4,16,38.3
W12X50,50.0,14.6,12.2,8.08,0.37,0.64,1.14,0.9375,6.31,26.8,391.0,71.9,64.2,5.18,56.3,21.3,13.9,1.96,1.71,1880,23.4,30.2,14.3,35.4
W12X45,45.0,13.1,12.1,8.05,0.335,0.575,1.08,0.9375,7,29.6,348.0,64.2,57.7,5.15,50.0,19.0,12.4,1.95,1.26,1650,23.2,26.8,12.8,31.7
W12X40,40.0,11.7,11.9,8.01,0.295,0.515,1.02,0.875,7.77,33.6,307.0,57.0,51.5,5.13,44.1,16.8,11.0,1.94,0.906,1440,22.8,23.5,11.3,27.8
W12X35,35.0,10.3,12.5,6.56,0.3,0.52,0.82,0.75,6.31,36.2,285.0,51.2,45.6,5.25,24.5,11.5,7.47,1.54,0.741,879,19.6,16.8,9.75,25.4
W12X30,30.0,8.79,12.3,6.52,0.26,0.44,0.74,0.75,7.41,41.8,238.0,43.1,38.6,5.21,20.3,9.56,6.24,1.52,0.457,720,19.3,13.9,8.17,21.3
W12X26,26.0,7.65,12.2,6.49,0.23,0.38,0.68,0.75,8.54,47.2,204.0,37.2,33.4,5.17,17.3,8.17,5.34,1.51,0.3,607,19.2,11.8,7.03,18.3
W12X22,22.0,6.48,12.3,4.03,0.26,0.425,0.725,0.625,4.74,41.8,156.0,29.3,25.4,4.91,4.66,3.66,2.31,0.848,0.293,164,12,5.12,4.76,14.4
W12X19,19.0,5.57,12.2,4.01,0.235,0.35,0.65,0.5625,5.72,46.2,130.0,24.7,21.3,4.82,3.76,2.98,1.88,0.822,0.18,131,11.9,4.17,3.91,12.2
W12X16,16.0,4.71,12,3.99,0.22,0.265,0.565,0.5625,7.53,49.4,103.0,20.1,17.1,4.67,2.82,2.26,1.41,0.773,0.103,96.9,11.7,3.09,2.93,9.82
W12X14,14.0,4.16,11.9,3.97,0.2,0.225,0.525,0.5625,8.82,54.3,88.6,17.4,14.9,4.62,2.36,1.9,1.19,0.753,0.0704,80.4,11.6,2.59,2.48,8.49
W10X112,112.0,32.9,11.4,10.4,0.755,1.25,1.75,1,4.17,10.4,716.0,147.0,126.0,4.66,236.0,69.2,45.3,2.68,15.1,6020,26.4,85.8,30.6,73.5
W10X100,100.0,29.3,11.1,10.3,0.68,1.12,1.62,1,4.62,11.6,623.0,130.0,112.0,4.6,207.0,61.0,40.0,2.65,10.9,5150,25.7,74.1,26.9,64.2
W10X88,88.0,26.0,10.8,10.3,0.605,0.99,1.49,0.9375,5.18,13,534.0,113.0,98.5,4.54,179.0,53.1,34.8,2.63,7.53,4330,25.3,64.4,23.5,55.9
W10X77,77.0,22.7,10.6,10.2,0.53,0.87,1.37,0.875,5.86,14.8,455.0,97.6,85.9,4.49,154.0,45.9,30.1,2.6,5.11,3630,24.8,55,20.5,48.4
W10X68,68.0,19.9,10.4,10.1,0.47,0.77,1.27,0.875,6.58,16.7,394.0,85.3,75.7,4.44,134.0,40.1,26.4,2.59,3.56,3100,24.3,47.3,17.9,42.1
W10X60,60.0,17.7,10.2,10.1,0.42,0.68,1.18,0.8125,7.41,18.7,341.0,74.6,66.7,4.39,116.0,35.0,23.0,2.57,2.48,2640,24,41.3,15.7,36.8
W10X54,54.0,15.8,10.1,10,0.37,0.615,1.12,0.8125,8.15,21.2,303.0,66.6,60.0,4.37,103.0,31.3,20.6,2.56,1.82,2320,23.7,36.5,14,32.8
W10X49,49.0,14.4,10,10,0.34,0.56,1.06,0.8125,8.93,23.1,272.0,60.4,54.6,4.35,93.4,28.3,18.7,2.54,1.39,2070,23.6,33,12.8,29.8
W10X45,45.0,13.3,10.1,8.02,0.35,0.62,1.12,0.8125,6.47,22.5,248.0,54.9,49.1,4.32,53.4,20.3,13.3,2.01,1.51,1200,19,23.6,11.3,27
W10X39,39.0,11.5,9.92,7.99,0.315,0.53,1.03,0.8125,7.53,25,209.0,46.8,42.1,4.27,45.0,17.2,11.3,1.98,0.976,992,18.8,19.9,9.55,23
W10X33,33.0,9.71,9.73,7.96,0.29,0.435,0.935,0.75,9.15,27.1,171.0,38.8,35.0,4.19,36.6,14.0,9.2,1.94,0.583,791,18.5,16,7.75,18.9
W10X30,30.0,8.84,10.5,5.81,0.3,0.51,0.81,0.6875,5.7,29.5,170.0,36.6,32.4,4.38,16.7,8.84,5.75,1.37,0.622,414,14.5,10.7,7.02,18.2
W10X26,26.0,7.61,10.3,5.77,0.26,0.44,0.74,0.6875,6.56,34,144.0,31.3,27.9,4.35,14.1,7.5,4.89,1.36,0.402,345,14.2,9.03,5.98,15.4
W10X22,22.0,6.49,10.2,5.75,0.24,0.36,0.66,0.625,7.99,36.9,118.0,26.0,23.2,4.27,11.4,6.1,3.97,1.33,0.239,275,14.1,7.32,4.88,12.9
W10X19,19.0,5.62,10.2,4.02,0.25,0.395,0.695,0.625,5.09,35.4,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.874,0.233,104,9.85,3.91,3.65,10.6
W10X17,17.0,4.99,10.1,4.01,0.24,0.33,0.63,0.5625,6.08,36.9,81.9,18.7,16.2,4.05,3.56,2.8,1.78,0.845,0.156,85.1,9.79,3.24,3.04,9.14
W10X15,15.0,4.41,9.99,4,0.23,0.27,0.57,0.5625,7.41,38.5,68.9,16.0,13.8,3.95,2.89,2.3,1.45,0.81,0.104,68.3,9.73,2.63,2.48,7.83
W10X12,12.0,3.54,9.87,3.96,0.19,0.21,0.51,0.5625,9.43,46.6,53.8,12.6,10.9,3.9,2.18,1.74,1.1,0.785,0.0547,50.9,9.56,1.99,1.91,6.14
W8X67,67.0,19.7,9,8.28,0.57,0.935,1.33,0.9375,4.43,11.1,272.0,70.1,60.4,3.72,88.6,32.7,21.4,2.12,5.05,1440,16.7,32.3,14.5,34.8
W8X58,58.0,17.1,8.75,8.22,0.51,0.81,1.2,0.875,5.07,12.4,228.0,59.8,52.0,3.65,75.1,27.9,18.3,2.1,3.33,1180,16.3,27.2,12.4,29.7
W8X48,48.0,14.1,8.5,8.11,0.4,0.685,1.08,0.8125,5.92,15.9,184.0,49.0,43.2,3.61,60.9,22.9,15.0,2.08,1.96,931,15.8,22,10.3,24.2
W8X40,40.0,11.7,8.25,8.07,0.36,0.56,0.954,0.8125,7.21,17.6,146.0,39.8,35.5,3.53,49.1,18.5,12.2,2.04,1.12,726,15.5,17.5,8.3,19.7
W8X35,35.0,10.3,8.12,8.02,0.31,0.495,0.889,0.8125,8.1,20.5,127.0,34.7,31.2,3.51,42.6,16.1,10.6,2.03,0.769,619,15.3,15.2,7.28,17.1
W8X31,31.0,9.13,8,8,0.285,0.435,0.829,0.75,9.19,22.3,110.0,30.4,27.5,3.47,37.1,14.1,9.27,2.02,0.536,530,15.1,13.2,6.35,15
W8X28,28.0,8.25,8.06,6.54,0.285,0.465,0.859,0.625,7.03,22.3,98.0,27.2,24.3,3.45,21.7,10.1,6.63,1.62,0.537,312,12.4,9.44,5.52,13.4
W8X24,24.0,7.08,7.93,6.5,0.245,0.4,0.794,0.5625,8.12,25.9,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61,0.346,259,12.2,7.95,4.71,11.3
W8X21,21.0,6.16,8.28,5.27,0.25,0.4,0.7,0.5625,6.59,27.5,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26,0.282,152,10.4,5.47,3.96,10.1
W8X18,18.0,5.26,8.14,5.25,0.23,0.33,0.63,0.5625,7.95,29.9,61.9,17.0,15.2,3.43,7.97,4.66,3.04,1.23,0.172,122,10.3,4.44,3.23,8.37
W8X15,15.0,4.44,8.11,4.02,0.245,0.315,0.615,0.5625,6.37,28.1,48.0,13.6,11.8,3.29,3.41,2.67,1.7,0.876,0.137,51.8,7.81,2.47,2.31,6.64
W8X13,13.0,3.84,7.99,4,0.23,0.255,0.555,0.5625,7.84,29.9,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,0.0871,40.8,7.74,1.97,1.86,5.55
W8X10,10.0,2.96,7.89,3.94,0.17,0.205,0.505,0.5,9.61,40.5,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841,0.0426,30.9,7.57,1.53,1.48,4.29
W6X25,25.0,7.34,6.38,6.08,0.32,0.455,0.705,0.5625,6.68,15.5,53.4,18.9,16.7,2.7,17.1,8.56,5.61,1.52,0.461,150,9.01,6.23,3.88,9.39
W6X20,20.0,5.87,6.2,6.02,0.26,0.365,0.615,0.5625,8.25,19.1,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.5,0.24,113,8.78,4.82,3.07,7.38
W6X15,15.0,4.43,5.99,5.99,0.23,0.26,0.51,0.5625,11.5,21.6,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45,0.101,76.5,8.58,3.34,2.15,5.32
W6X16,16.0,4.74,6.28,4.03,0.26,0.405,0.655,0.5625,4.98,19.1,32.1,11.7,10.2,2.6,4.43,3.39,2.2,0.967,0.223,38.2,5.92,2.42,2.24,5.77
W6X12,12.0,3.55,6.03,4,0.23,0.28,0.53,0.5625,7.14,21.6,22.1,8.3,7.31,2.49,2.99,2.32,1.5,0.918,0.0903,24.7,5.75,1.61,1.52,4.08
W6X9,9.0,2.68,5.9,3.94,0.17,0.215,0.465,0.5,9.16,29.2,16.4,6.23,5.56,2.47,2.2,1.72,1.11,0.905,0.0405,17.7,5.6,1.19,1.15,3.04
W6X8.5,8.5,2.52,5.83,3.94,0.17,0.195,0.445,0.5,10.1,29.1,14.9,5.73,5.1,2.43,1.99,1.56,1.01,0.89,0.0333,15.8,5.55,1.06,1.03,2.78
W5X19,19.0,5.56,5.15,5.03,0.27,0.43,0.73,0.4375,5.85,13.7,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,0.316,50.9,5.94,3.21,2.42,5.73
W5X16,16.0,4.71,5.01,5,0.24,0.36,0.66,0.4375,6.94,15.4,21.4,9.63,8.55,2.13,7.51,4.58,3.0,1.26,0.192,40.6,5.81,2.62,1.99,4.74
W4X13,13.0,3.83,4.16,4.06,0.28,0.345,0.595,0.5,5.88,10.6,11.3,6.28,5.46,1.72,3.86,2.92,1.9,1.0,0.151,14,3.87,1.36,1.24,3.09
